 |ID|CJ|CI|RWLA|RWAR|RWB|RWCM|RWCN|RWDO|RWDT|RWEL|RWEND|RWFOR|RWFR|RWGT|RWIF|RWINT|RWIR|RWLB|RWLN|RWOF|RWOP|RWLO|RWPR|RWRAT|RWRD|RWSM|RWTH|RWTO|RWTP|RWV|RWWR|RWCX|RWFUN|RWIM|RWRE|RWINTOP|RWPRC|RWDN|RWN|OPPLUS|OPMINUS|OPMUL|OPDIV|OPGT|OPLT|OPGE|OPLE|OPEQ|OPNE|OPAS|SRLP|SRRP|SRLB|SRRB|SRSM|SRCN|SRSP|SRCA|SRLCB|SRRCB|TEXT||ERROR|ENDOFFILE|ENDOFFILE
LogicOr1||||||||||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[, LogicAnd, LogicOr1]|||||[EPSILON]|[EPSILON]||||||||||||||||||||||||[EPSILON]||[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|||||
LoopDirection|||||||||||[RWDT]|||||||||||||||||||[RWTO]|||||||||||||||||||||||||||||||||||||
LoopWithParameterOperator||||||||||||||[RWFOR, ID, OPAS, Expression, LoopDirection, Expression, RWDO, , Statement]|||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[EPSILON]|||||||||
Massive||||||[RWAR, SRLB, IndexType, Massive1, SRRB, RWOF, ]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Massive1||||||||||||||||||||||||||||||||||||||||||||||||||||||||[EPSILON]||||[SRCA, IndexType, Massive1]|||||||
OneTypeArgs||[ID, OneTypeArgs1]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
OneTypeArgs1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRCN, Type]||[SRCA, ID, IdList1, SRCN, Type]|||||||
OperatorOverloadSection|||||||||||||||||||||||[RWOP, OperatorOverloadSection1]||||||||||||||||||||||||||||||||||||||||||||
OperatorOverloadSection1|||||[OverloadBinaryOperation1, SRLP, ID, BinaryOperatorOverload1, ID, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]|||[OverloadBinaryOperation1, SRLP, ID, BinaryOperatorOverload1, ID, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]|||||||[UnaryOperator1, SRLP, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, OperatorOverloadSection1, CompoundStatement, SRSM]||||[UnaryOperator1, SRLP, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, OperatorOverloadSection1, CompoundStatement, SRSM]||[UnaryOperator1, SRLP, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, OperatorOverloadSection1, CompoundStatement, SRSM]|||[OverloadBinaryOperation1, SRLP, ID, BinaryOperatorOverload1, ID, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]||||[UnaryOperator1, SRLP, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, OperatorOverloadSection1, CompoundStatement, SRSM]||||||||[UnaryOperator1, SRLP, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, OperatorOverloadSection1, CompoundStatement, SRSM]|[UnaryOperator1, SRLP, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, OperatorOverloadSection1, CompoundStatement, SRSM]|[UnaryOperator1, SRLP, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, OperatorOverloadSection1, CompoundStatement, SRSM]||||[BinaryAdditiveOperator, SRLP, ID, OperatorOverloadSection2]|[BinaryAdditiveOperator, SRLP, ID, OperatorOverloadSection2]|[OverloadBinaryOperation1, SRLP, ID, BinaryOperatorOverload1, ID, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]|[OverloadBinaryOperation1, SRLP, ID, BinaryOperatorOverload1, ID, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]|||||||[OverloadBinaryOperation1, SRLP, ID, BinaryOperatorOverload1, ID, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]|||||||||||||||
OperatorOverloadSection2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRCN, Type, OperatorOverloadSection3]||[SRCA, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]|||||||
